Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,100.529999,100.910004,99.809998,99.919998,3041500,99.21111
2015-12-30,101.510002,101.540001,100.980003,101.150002,2333000,100.432387
2015-12-29,101.110001,101.699997,100.769997,101.449997,2362200,100.730254
2015-12-28,100.389999,100.790001,100.139999,100.68,4017700,99.96572
2015-12-24,100.510002,100.970001,100.110001,100.540001,1044300,99.826714
2015-12-23,100.199997,100.760002,100.019997,100.639999,2929600,99.926003
2015-12-22,98.910004,100.07,98.629997,99.800003,3882100,99.091966
2015-12-21,98.389999,98.639999,97.769997,98.620003,3089100,97.920337
2015-12-18,99.75,99.760002,97.879997,97.900002,6926800,97.205444
2015-12-17,101.00,101.110001,100.169998,100.199997,4303600,99.489122
2015-12-16,99.839996,101.330002,99.650002,101.080002,4994500,100.362883
2015-12-15,98.529999,99.669998,98.199997,99.389999,5546600,98.684871
2015-12-14,98.089996,98.620003,96.809998,97.949997,6633900,97.255085
2015-12-11,97.93,98.790001,97.540001,97.779999,5429700,97.086293
2015-12-10,99.309998,99.599998,98.449997,98.900002,3926600,98.198349
2015-12-09,99.529999,100.959999,98.989998,99.129997,4195100,98.426713
2015-12-08,100.400002,100.809998,99.629997,100.169998,3385200,99.459336
2015-12-07,101.029999,101.510002,100.120003,100.669998,3408000,99.955789
2015-12-04,99.199997,101.370003,98.540001,101.059998,6422700,100.343021
2015-12-03,99.620003,99.989998,98.760002,99.089996,5661000,98.386996
2015-12-02,100.360001,100.379997,99.360001,99.480003,4361600,98.774236
2015-12-01,100.110001,101.120003,100.110001,101.059998,4473200,99.645007
2015-11-30,100.739998,100.970001,100.129997,100.160004,6083300,98.757615
2015-11-27,100.089996,100.989998,100.089996,100.739998,1463400,99.329488
2015-11-25,100.529999,100.940002,100.449997,100.50,2906000,99.09285
2015-11-24,100.330002,101.00,100.00,100.629997,3405400,99.221027
2015-11-23,100.480003,101.690002,100.239998,100.849998,4604000,99.437948
2015-11-20,101.519997,102.150002,100.00,100.099998,4800600,98.698449
2015-11-19,100.519997,101.370003,100.50,100.93,3496000,99.51683
2015-11-18,99.07,100.379997,98.910004,100.269997,4074200,98.866067
2015-11-17,99.540001,99.879997,98.559998,98.830002,3446500,97.446235
2015-11-16,97.75,99.660004,97.650002,99.559998,3446600,98.166009
2015-11-13,98.190002,98.949997,97.809998,98.040001,4001000,96.667295
2015-11-12,98.900002,99.330002,98.339996,98.370003,3892800,96.992676
2015-11-11,99.279999,99.959999,99.089996,99.43,3147300,98.037832
2015-11-10,98.50,99.220001,98.379997,98.830002,3367800,97.446235
2015-11-09,99.480003,99.599998,98.230003,98.879997,3959900,97.49553
2015-11-06,100.07,100.290001,99.150002,99.720001,4660400,98.323773
2015-11-05,100.620003,100.940002,100.190002,100.610001,2834100,99.201311
2015-11-04,100.889999,101.339996,100.400002,100.620003,3345600,99.211173
2015-11-03,101.160004,101.209999,99.830002,100.919998,4174900,99.506968
2015-11-02,102.139999,102.580002,101.099998,101.400002,5007300,99.980251
2015-10-30,102.629997,103.239998,102.190002,102.190002,5425800,100.75919
2015-10-29,102.089996,103.099998,101.900002,102.800003,3008100,101.36065
2015-10-28,103.110001,103.199997,101.480003,102.739998,5164800,101.301485
2015-10-27,102.129997,103.199997,102.010002,102.940002,3995700,101.498689
2015-10-26,102.389999,102.809998,101.849998,102.540001,3770700,101.104288
2015-10-23,103.32,103.440002,101.93,102.43,5015800,100.995828
2015-10-22,100.669998,103.379997,100.330002,103.080002,5934800,101.636728
2015-10-21,99.900002,100.900002,99.739998,100.25,4332000,98.846351
2015-10-20,99.949997,100.389999,99.669998,100.269997,3613600,98.866067
2015-10-19,99.699997,100.269997,99.519997,100.18,4902700,98.777331
2015-10-16,98.849998,99.809998,98.300003,99.699997,5529400,98.304049
2015-10-15,98.110001,98.489998,97.43,98.279999,5763900,96.903932
