Date,Open,High,Low,Close,Adj Close,Volume
2011-01-08,35.270000,36.200001,35.000000,35.549999,35.549999,9900900
2011-01-15,35.520000,35.669998,34.880001,35.180000,35.180000,6900300
2011-01-22,35.110001,35.959999,34.750000,34.840000,34.840000,9241000
2011-01-29,34.919998,35.889999,34.820000,35.639999,35.639999,7139200
2011-02-05,35.560001,36.029999,33.689999,33.959999,33.959999,13178500
2011-02-12,34.009998,36.590000,33.680000,36.410000,36.410000,13930100
2011-02-19,36.090000,36.450001,35.360001,36.430000,36.430000,6977800
2011-02-26,36.439999,37.459999,36.009998,37.410000,37.410000,11102700
2011-03-05,37.410000,38.040001,37.009998,37.470001,37.470001,10857300
2011-03-12,37.459999,37.959999,36.720001,37.880001,37.880001,11094800
2011-03-19,38.080002,38.250000,36.860001,37.880001,37.880001,6945900
2011-03-26,37.400002,37.790001,36.810001,37.509998,37.509998,10030100
2011-04-02,37.580002,38.150002,37.290001,37.459999,37.459999,6490100
2011-04-09,36.590000,39.889999,36.200001,38.310001,38.310001,15362600
2011-04-16,37.939999,39.419998,37.840000,39.070000,39.070000,6421600
2011-04-23,38.990002,40.430000,38.400002,39.200001,39.200001,12499700
2011-04-30,39.400002,39.849998,38.910000,39.279999,39.279999,8837100
2011-05-07,39.189999,42.070000,39.130001,41.779999,41.779999,12574900
2011-05-14,41.639999,42.439999,41.410000,42.099998,42.099998,8928200
2011-05-21,41.790001,42.119999,40.980000,41.060001,41.060001,9255400
2011-05-28,41.299999,41.459999,40.169998,40.299999,40.299999,7535800
2011-06-04,40.360001,40.480000,39.689999,40.310001,40.310001,7938300
2011-06-11,40.290001,41.209999,40.099998,40.540001,40.540001,10546800
2011-06-18,40.549999,41.180000,39.549999,39.889999,39.889999,10651000
2011-06-25,40.020000,42.419998,40.009998,42.150002,42.150002,9392400
2011-07-02,42.150002,43.130001,41.410000,41.919998,41.919998,10063900
2011-07-09,41.709999,41.730000,40.619999,40.830002,40.830002,7324800
2011-07-16,40.580002,41.000000,39.610001,40.360001,40.360001,8739700
2011-07-23,40.029999,40.029999,37.570000,37.759998,37.759998,12181500
2011-07-30,38.009998,38.189999,36.480000,37.439999,37.439999,13783900
2011-08-06,36.830002,37.770000,34.369999,37.430000,37.430000,15094800
2011-08-13,37.490002,37.560001,35.580002,35.740002,35.740002,10134200
2011-08-20,36.279999,36.570000,34.930000,36.570000,36.570000,7816800
2011-08-27,36.930000,38.590000,36.840000,37.730000,37.730000,8368000
2011-09-03,36.799999,37.900002,36.529999,36.849998,36.849998,9411800
2011-09-10,36.419998,38.549999,36.349998,38.430000,38.430000,11527500
2011-09-17,37.880001,38.660000,36.369999,36.970001,36.970001,9234600
2011-09-24,37.180000,39.040001,36.470001,38.779999,38.779999,10856000
2011-10-01,38.509998,38.880001,36.340000,38.470001,38.470001,10006900
2011-10-08,39.099998,40.020000,38.720001,39.799999,39.799999,7498500
2011-10-15,39.709999,40.119999,38.459999,40.080002,40.080002,7275300
2011-10-22,40.029999,40.250000,36.590000,37.389999,37.389999,15713800
2011-10-29,36.990002,38.169998,36.439999,37.130001,37.130001,9056100
2011-11-05,37.230000,37.680000,36.200001,37.189999,37.189999,9598700
2011-11-12,37.169998,37.389999,35.549999,36.720001,36.720001,8843700
2011-11-19,36.299999,36.599998,34.650002,34.959999,34.959999,4692500
2011-11-26,35.430000,37.060001,35.330002,36.689999,36.689999,9513200
2011-12-03,37.090000,38.130001,37.080002,37.820000,37.820000,7198500
2011-12-10,37.790001,39.029999,37.259998,38.810001,38.810001,10189000
2011-12-17,38.939999,39.880001,38.369999,39.830002,39.830002,7427200
2011-12-24,39.849998,40.060001,39.349998,39.480000,39.480000,4015900
